model;length;optim;batch;95
LSTM;10;Adam;16;0.25
LSTM;15;Adam;16;0.25
LSTM;20;Adam;16;1
LSTM;25;Adam;16;0.25
LSTM;30;Adam;16;0.25
LSTM;35;Adam;16;0.1875
LSTM;40;Adam;16;0.1875
LSTM;5;Adam;128;1
LSTM;6;Adam;128;1
LSTM;7;Adam;128;1
LSTM;8;Adam;128;1
LSTM;9;Adam;128;1
LSTM;10;Adam;128;0.148438
LSTM;11;Adam;128;0.140625
LSTM;12;Adam;128;0.140625
LSTM;13;Adam;128;0.140625
LSTM;14;Adam;128;0.148438
LSTM;15;Adam;128;0.15625
LSTM;20;Adam;128;0.148438
LSTM;25;Adam;128;0.140625
LSTM;30;Adam;128;0.148438
LSTM;35;Adam;128;0.140625
LSTM;40;Adam;128;0.140625
LSTM;45;Adam;128;0.140625
LSTM;50;Adam;128;0.132812
LSTM;6;RMSprop;128;1
LSTM;7;RMSprop;128;1
LSTM;8;RMSprop;128;1
LSTM;9;RMSprop;128;0.148438
LSTM;10;RMSprop;128;0.148438
LSTM;11;RMSprop;128;0.148438
LSTM;12;RMSprop;128;0.15625
LSTM;13;RMSprop;128;0.148438
LSTM;14;RMSprop;128;0.15625
LSTM;30;RMSprop;128;0.148438
RNN;5;Adam;16;1
RNN;10;Adam;16;0.375
RNN;15;Adam;16;1
RNN;20;Adam;16;0.34375
RNN;25;Adam;16;0.3125
RNN;30;Adam;16;0.875
RNN;35;Adam;16;0.6875
RNN;40;Adam;16;0.9375
RNN;45;Adam;16;0.625
RNN;50;Adam;16;0.75
RNN;5;Adam;128;1
RNN;6;Adam;128;1
RNN;7;Adam;128;1
RNN;8;Adam;128;1
RNN;9;Adam;128;1
RNN;10;Adam;128;1
RNN;11;Adam;128;1
RNN;12;Adam;128;1
RNN;13;Adam;128;1
RNN;14;Adam;128;1
RNN;15;Adam;128;1
RNN;20;Adam;128;1
RNN;25;Adam;128;0.304688
RNN;30;Adam;128;0.460938
RNN;35;Adam;128;0.546875
RNN;40;Adam;128;0.257812
RNN;45;Adam;128;0.796875
RNN;50;Adam;128;1
RNN;5;RMSprop;16;1
RNN;10;RMSprop;16;1
RNN;15;RMSprop;16;1
RNN;20;RMSprop;16;0.6875
RNN;25;RMSprop;16;0.375
RNN;30;RMSprop;16;0.5
RNN;35;RMSprop;16;0.375
RNN;40;RMSprop;16;0.4375
RNN;45;RMSprop;16;0.375
RNN;50;RMSprop;16;0.25
RNN;5;RMSprop;128;1
RNN;10;RMSprop;128;1
RNN;15;RMSprop;128;1
RNN;20;RMSprop;128;0.515625
RNN;25;RMSprop;128;1
RNN;30;RMSprop;128;0.2382815
RNN;35;RMSprop;128;0.226562
RNN;40;RMSprop;128;0.21875
RNN;45;RMSprop;128;0.296875
RNN;50;RMSprop;128;0.234375
